dýl,Kolín 
později,Kutná Hora
dýl,Praha východ
dýl,Nymburk
později,Kolín
dýl,Kutná Hora
později,Praha východ
dýl,Kolín 
dýl,Kolín
dýl,Kolín
později,Kutná Hora
později,Pardubice
později,Praha
dýl,Kolín 
dýl,Kolín 
dýl,Kolín
dýl,Kutná Hora
později,Kolín
dýl,Kutná Hora
dýl,Kutná Hora
později,Kutná Hora
dýl,Kutná Hora
později,Čáslav
později,Nymburk
dýl,Praha východ 
dýl,Kolín
později,Ostrava-město
dýl,Kolín
později,Praha východ 
později,Kolín 
později,Kolín
dýl,Praha východ 
později,Kutná Hora
dýl,Kolín 
dýl,Kolín
později,Kolín
později,Kutná Hora
dýl,Nymburk
dýl,Kolín
později,Kolín
později,Kolín
dýl,Kutná Hora
později,Kutná Hora
později,Kolín
dýl,Nymburk
dýl,Kolín
dýl,Nymburk
později,Kolín 
dýl,Kolín
dýl,Kolín
dýl,Kutná Hora
později,Kolín
později,Hodonín
později,Praha východ 
později,Praha východ 
dýl,Nymburk
později,Kutná Hora
dýl,Nymburk 
později,Nymburk
později,Kolín
dýl,Kutná Hora
později,Kolín
dýl,Kutná Hora
dýl,Kolín
později,Kolín
později,Kolín
dýl,Kolín
dýl,Nymburk
později,Kolín
dýl,Kolín
dýl,Kolín
později,Kolín
dýl,Kolín
později,Praha
později,Kolín
dýl,Kolín
dýl,Kolín
dýl,Kolín
později,Kolín
později,Nymburk
dýl,Kutná Hora
dýl,Kolín 
později,Kolín
později,Kolín
dýl,Kolín
dýl,Kolín 
později,Kolín
dýl,Kolín
dýl,Kutná Hora
dýl,Kolín
později,Kolín
později,Kolín
dýl,Nymburk
posledni 97,
